ML	15/01/1971	15/03/1971	15/05/1971	15/07/1971	15/08/1971	15/11/1971	15/12/1971
1	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0
9	0	0	0	0	0	1	0
11	4	0	0	1	0	13	0
13	8	4	3	2	1	1	0
15	12	6	13	5	4	2	0
17	4	2	3	3	16	6	1
19	2	10	4	4	24	19	5
21	5	7	14	8	11	45	11
23	7	7	17	0	1	8	14
25	2	2	8	2	0	2	4
27	0	0	4	0	1	2	1
29	0	0	1	0	0	1	1
