ML	01/01/1971	01/10/1971
23	0	3
25	0	10
27	0	14
29	0	5
31	0	11
33	0	23
35	0	42
37	0	23
39	0	17
41	0	41
43	0	38
45	0	21
47	0	12
49	0	19
51	0	21
53	0	9
55	0	6
57	0	0
59	0	3
